gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante;centre_type
582;Louviers : maison des sports et associations;;0.99999990168271;27375_0946_00012;10;Avenue du Maréchal Leclerc;27400;27375;Louviers;49.208;1.15292;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;18097;2021-09-10 10:19:32.747395;;;;;;;;;t;2021-08-28;2021-01-21;https://partners.doctolib.fr/hopital-public/evreux/ch-eure-seine-centre-de-vaccination-covid-vacci-covid-27?pid=practice-164880&?speciality_id=5494&enable_cookies_consent=1;+33279461156;;;;;t;;
1582;Centre de  vaccination CH de Cavaillon;;0.99999999375321;84035_0727_00096;119;Avenue Georges Clémenceau;84300;84035;Cavaillon;43.8401;5.03799;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;BD DE PARIS;13003;13203;MARSEILLE 3;10366;10366;2021-07-06 20:00:01.55925;;9h-13h et 14h-18h;9h-13h et 14h-18h;9h-13h et 14h-18h;9h-13h et 14h-18h;9h-13h et 14h-18h;fermé;fermé;t;;2021-01-12;https://partners.doctolib.fr/vaccination-covid-19/cavaillon/centre-hospitalier-intercommunal-cavaillon-lauris-vaccination-covid-19-cavaillon?pid=practice-167685&enable_cookies_consent=1;04 90 78 85 34;;;;;f;;{}
2370;Centre de vaccination de Gueugnon;;0.99999931468945;71230_k8gspv_00029;13;route de Chassy ;71130;71230;Gueugnon;46.597;4.0576;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;24502;2021-11-10 09:36:41.234854;;fermé;fermé;13:30-18:00;09:00-12:00/13:30-18:00;09:00-12:00/13:30-18:00;fermé;fermé;t;;2021-04-12;https://partners.doctolib.fr/centre-de-sante/chalon-sur-saone/centre-de-vaccination-prefecture-saone-et-loire?pid=practice-181055&enable_cookies_consent=1;+33800009110;;;;;f;;
1302;GOUAREC - Bel Air;;1;22064_0005_00002;;Rue de Bel Air;22570;22064;Gouarec;48.2292;-3.1933;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18;2021-10-19 11:57:29.6983;;fermé;fermé;fermé;13h-18h;fermé;fermé;fermé;t;;2021-01-28;https://vaccination-covid.keldoc.com/cabinet-medical/gouarec-22570/salle-des-fetes-rostrenen/salle-des-fetes-rostrenen?cabinet=17001&specialty=144;+33257180060;;;;;f;f;
2948;Centre de vaccination de Sainte Luce;;0.99999985958078;97227_0069_00064_u;64u;Chemin des Eaux Decoupees;97228;97227;Sainte-Luce;14.4685;-60.9228;130007883;8412Z;AGENCE REGIONALE DE SANTE DE MARTINIQUE;;ZAC ETANG Z ABRICOT;97200;97209;FORT-DE-FRANCE;18070;18070;2021-09-24 15:00:01.402296;;09h00 à 16h00;09h00 à 16h00;09h00 à 16h00;09h00 à 16h00;09h00 à 16h00;fermé;fermé;f;2021-12-31;2021-09-06;https://vaccination-covid.keldoc.com/redirect/?dom=cabinet-medical&inst=sainte-luce-97228&user=centre-de-vaccination-de-sainte-luce-martinique&specialty=496&cabinet=26260;+33596625320 ;+33596622156;;t;t;f;f;
2532;UHSA LILLE SECLIN;;0.99999434453386;59350_6513_00005;2;Avenue Oscar Lambret;59000;59350;Lille;50.61;3.03764;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;21506;21506;2021-05-05 13:33:45.278877;590780193;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;;{UHSI}
2630;SOS Médecin;;0.99999997317769;25056_2750_00020;20;Avenue de l’Île de France;25000;25056;Besançon;47.221;5.96605;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;22718;22718;2021-07-07 11:29:04.447596;;08:30-20:00;08:30-20:00;08:30-20:00;08:30-20:00;08:30-20:00;fermé;fermé;;2021-06-25;2021-05-17;https://partners.doctolib.fr/vaccination-covid-19/besancon/centre-de-vaccination-sos-medecin-besancon?pid=practice-187215&enable_cookies_consent=1;;;;;;t;;
2533;UHSI NANCY;;0.99999999613871;54395_3390_00029;29;Av du Mal de Lattre de Tassigny;54000;54395;Nancy;48.6839;6.18941;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;21506;21506;2021-05-05 13:42:50.202036;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;;{UHSI}
1284;Lieu de vaccination FRESNES EN WOEVRE - MSP;2021-848;0.99999999386311;55198_0025_00016_bis;16 bis;Rue des Eparges;55160;55198;Fresnes-en-Woëvre;49.0945;5.62516;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13424;18595;2021-07-02 14:39:15.814266;;A préciser;A préciser;A préciser;A préciser;A préciser;fermé;fermé;t;2021-04-15;2021-01-25;https://www.maiia.com/centre-de-vaccination/55160-fresnes-en-woevre/centre-de-vaccination---fresnes-en-woevre;+33372850117;;;;;t;;"{""Séc. Civ. concourant""}"
1657;Centre de vaccination - Centre municipal de santé;;1;93063_0620_00052;39;Allée Bellevue;93230;93063;Romainville;48.8862;2.44059;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;DU LANDY RUE;93200;93066;SAINT-DENIS;18279;20829;2021-10-18 11:47:46.192392;accessible au PMR;Fermé;Fermé;8H30 à 11H45 et 14H00 à 17H15;14H00 - 20H25;8H30 à 11H45 et 14H00 à 17H15;8H30 - 11H45;fermé;f;2021-10-17;2021-03-06;https://www.maiia.com/centre-de-vaccination/93230-romainville/centre-de-vaccination-de-romainville;01 41 83 17 85;;;t;;f;f;
592;Centre Municipal de Santé - Gymnase Maurice Baquet;;0.99999997680524;93055_4455_00006;6;Rue Honoré d’Estienne d’Orves;93500;93055;Pantin;48.8911;2.40652;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18064;27035;2021-11-02 11:01:54.553624;;Fermé;Fermé;Fermé;Fermé;Fermé;Fermé;fermé;t;2021-10-31;2021-01-18;https://partners.doctolib.fr/centre-de-sante/pantin/centre-de-vaccination-covid-pantin?pid=practice-165023?speciality_id=5494&enable_cookies_consent=1;+33619253078;;;t;;f;f;
1176;Centre de vaccination du Centre hospitalier de Givors;2021-10-0091;0.99999914914195;69091_d0gf2e_00009;9;Avenue du Professeur Fleming;69700;69091;Givors;45.5998;4.76553;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;11598;11598;2021-10-28 15:08:23.805991;;fermé;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;fermé;fermé;t;;2021-01-20;https://partners.doctolib.fr/centre-de-sante/givors/centre-vaccination-covid-ch-de-givors?speciality_id=5494&enable_cookies_consent=1;+33423101010;;;;;f;;"{""Dispositif aller vers ..."",""Equipe mobile""}"
23;Centre de vaccination du CH Troyes( ancien LIDL);;0.99999978735637;10387_3350_00006;;Av du Mal de Lattre de Tassigny;10000;10387;Troyes;48.3047;4.09398;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18593;2021-10-29 10:34:41.102328;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;2021-01-14;https://partners.doctolib.fr/centre-de-sante/troyes/centre-de-vaccination-covid-troyes-champagne-metropole-ex-lidl?speciality_id=5494&enable_cookies_consent=1;+33325497584;;;f;;f;;
2489;Centre de vaccination - CPTS BBH, maison communale d'animation;;0.99999220302537;59663_0160_00734;;Parc du Bocage;59470;59663;Wormhout;50.8876;2.47735;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-09-20 10:55:08.140886;;;;;;;;;;2021-09-03;2021-04-26;https://partners.doctolib.fr/centre-de-sante/wormhout/centre-de-vaccin-wormhout-cchf?pid=practice-184059&enable_cookies_consent=1;+33328681639;;;;;f;;"{""Equipe mobile""}"
39;Polyclinique de Franche-Comté;;0.99999933502108;25056_0256_00004;4;Rue Auguste Rodin;25000;25056;Besançon;47.2154;5.97953;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;22718;2021-07-07 11:30:35.851501;;08:30-12:30/13:30-17:30/18:00-21:00;08:30-12:30/13:30-17:30/18:00-21:00;08:30-12:30/13:30-17:30/18:00-21:00;08:30-12:30/13:30-17:30/18:00-21:00;08:30-12:30/13:30-17:30/18:00-21:00;08:30-12:30/13:30-17:30/18:00-21:00;fermé;t;2021-07-08;2021-01-08;https://partners.doctolib.fr/centre-de-sante/besancon/centre-de-vaccination-covid-19-polyclinique-franche-comte?speciality_id=5494&enable_cookies_consent=1;0381416845;;;t;;t;;
1585;Centre de vaccination éphémère de Morne à l'eau;2021-052;0.99999938211847;97116_mkvqmb_00920;Dispensaire de ;Richeval;97111;97116;Morne-à-l'Eau;16.3427;-61.4542;130008030;8412Z;AGENCE REGIONALE DE SANTE DE GUADELOUPE, SAINT-MARTIN ET SAINT-BARTHELEMY;;RUE DES ARCHIVES BISDARY;97113;97109;GOURBEYRE;13179;13179;2021-05-18 13:31:45.879035;Oui;13:30-17:30;13:30-17:30;12:00-17:30;13:30-17:30;09:00-13:30;fermé;fermé;t;;2021-02-23;https://www.maiia.com/centre-de-vaccination/97111-morne-a-l-eau/centre-de-vaccination---morne-a-l-eau-;05 90 99 14 74;;;t;f;f;f;
1637;Centre de vaccination - Lormont Carriet - Salle Léo Lagrange;;0.99999860618767;33249_0470_00060;60;Rue Lavergne;33310;33249;Lormont;44.8765;-0.523205;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18582;21419;2021-07-07 10:20:23.765902;;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00;fermé;t;2021-07-16;2021-03-02;https://partners.doctolib.fr/centre-de-sante/lormont/centre-de-vaccination-covid-19-ville-de-lormont?pid=practice-174829&enable_cookies_consent=1;;;;t;;f;;
2534;UHSA RENNES;;0.99999999274542;35238_3660_00126;108;Avenue Général Leclerc;35700;35238;Rennes;48.1139;-1.63823;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;21506;18;2021-08-02 17:19:50.856756;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;;;;;;;;t;f;{UHSA}
2535;UHSI RENNES ;;0.99999764023558;35238_6076_00016;16;2 Rue Henri le Guilloux;35000;35000;Rennes;48.1193;-1.69203;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;21506;18;2021-08-02 17:20:34.012785;350005179;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;;;;;;;;t;f;{UHSI}
1968;BRUZ - Parc Expo Rennes Aéroport;;0.9999963875626;35047_b232_00002;;La Haie Gautrais - Accès porte B;35170;35047;Bruz;48.0571;-1.73247;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18;2021-09-02 17:18:52.01388;;10h-19h;8h-19h;8h-19h;8h-19h;8h-19h;fermé;fermé;t;2021-08-28;2021-03-16;https://partners.doctolib.fr/centre-de-sante/bruz/centre-de-vaccination-parc-expo-bruz?pid=practice-174988&enable_cookies_consent=1;+33805690821;;;;;t;f;
118;Valognes : gymnase de l’Oncor ;;0.99999849023629;50615_a020;;Résidence Félix Buhot;50700;50615;Valognes;49.5102;-1.47663;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;11533;2021-09-24 16:10:59.804531;;09:00 - 18:30;09:00 - 18:30;09:00 - 18:30;09:00 - 18:30;09:00 - 18:30;;;t;;2021-01-11;https://vaccination-covid.keldoc.com/maison-de-sante/valognes-50700/chpc-centre-delocalise-salle-lechanoine-valognes/chpc-centre-delocalise-salle-lechanoine-valognes?cabinet=17307&specialty=496;+33279461156;;;f;;f;;
2440;Centre de vaccination éphémère - Centre de formation des sapeurs-pompiers de Saint -Priest ;;0.99999948808903;69290_0554_00015;13-15;Avenue de l’Europe;69800;69290;Saint-Priest;45.7175;4.91799;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;11598;11598;2021-10-26 11:52:48.207332;;fermé;fermé;fermé;fermé;;;;t;2021-12-17;2021-04-17;https://partners.doctolib.fr/centre-depistage-covid/saint-priest/centre-de-vaccination-ephemere-centre-de-formation-des-sapeurs-pompiers-saint-priest-reserve-aux-enseignants-forces-de-l-ordre-et-pompiers?pid=practice-183321&enable_cookies_consent=1;33423101010;;Réservé uniquement aux professionnels de plus de 55 ans de : •	La petite enfance •	Les enseignants  •	Les forces de l’ordre •	Les personnels pénitentiaires;;;t;f;"{""Sécurité Civile""}"
1287;Lieu de vaccination de COMMERCY (salle du Marlat);;0.99999997221033;55122_0590_00017;;Rue de la Pocherie;55200;55122;Commercy;48.7561;5.58283;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13424;14476;2021-02-03 17:57:11.761876;;A préciser;A préciser;A préciser;A préciser;A préciser;A préciser;fermé;t;;2021-01-27;https://www.maiia.com/centre-de-vaccination/55200-commercy/centre-de-vaccination---commercy;+33372850117;;;;;f;;{}
1283;Lieu de vaccination de DAMVILLERS - MSP;;0.99999992675349;55145_0005_00001;1;Rue de l’Abbé Mandre;55150;55145;Damvillers;49.3422;5.39821;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13424;18595;2021-07-02 14:35:11.029165;;A confirmer;A confirmer;A confirmer;A confirmer;A confirmer;fermé;fermé;t;2021-04-12;2021-01-25;https://www.maiia.com/centre-de-vaccination/55150-damvillers/centre-de-vaccination---damvillers;+33372850117;;;;;t;;
